	time	frame	subF	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.00904992	9	0	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.00904992	9	0	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.00907488	9	0	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.00909568	9	0	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.00909568	9	0	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.00912912	9	1	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.00914992	9	1	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.00914992	9	1	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.00917488	9	1	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.00919568	9	1	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.00919568	9	1	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.00922912	9	2	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
DL	0.00924992	9	2	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.00924992	9	2	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.00927488	9	2	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.00929568	9	2	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.00929568	9	2	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.00932912	9	3	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.00934992	9	3	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.00934992	9	3	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.00937488	9	3	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.00939568	9	3	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.00939568	9	3	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.00942912	9	4	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
DL	0.00944992	9	4	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.00944992	9	4	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.00947488	9	4	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.00949568	9	4	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.00949568	9	4	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.00952912	9	5	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.00954992	9	5	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.00954992	9	5	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.00957488	9	5	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.00959568	9	5	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.00959568	9	5	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.00962912	9	6	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
DL	0.00964992	9	6	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.00964992	9	6	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.00967488	9	6	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.00969568	9	6	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.00969568	9	6	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
